Genotype	X.1060..pyruvic.acid..6.714	X.971..oxalic.acid..7.883	X.6287..L.valine.2..9.151	X.700..ethanolamine..9.879	X.6106..L.leucine.2..9.945	X.938..nicotinic.acid..10.27	X.791..DL.isoleucine.2..10.225	X.444266..maleic.acid..10.323	X.439194..glyceric.acid..10.735	X.444972..fumaric.acid..10.94	X.439742..beta.cyano.L.alanine..11.288	X.6288..L.threonine.2..11.464	X.239..Beta..alanine..1..12.044	X.12647..L.homoserine.2..12.359	X.5960..aspartic.acid.2..13.207	X.5810..trans.4.hydroxy.L.proline.2..13.267	X.119..gamma.aminobutyric.acid..GABA...13.326	X.5460407..threonic.acid..13.652	X.1001..phenethylamine..13.742	X.51..alpha.ketoglutaric.acid..13.859	X.738..L.glutamine.2..14.083	X.236..L.asparagine.2..14.984	X.2724705..1.6.anhydro.glucose..15.326	X.6912..xylitol..15.376	X.827..ribitol..15.66	X.754..glycerol.1.phosphate..16.056	X.439183..3.phosphoglyceric.acid..16.504	X.6262..L.ornithine.2..16.632	X.9750..citrulline.2..16.691	X.835..dehydroascorbic.acid..1..16.863	X.204..allantoin.1..17.293	X.448388..D.allose.1..17.278	X.5962..L.lysine.2..17.643	X.637542..4.hydroxycinnamic.acid..17.854	X.6057..tyrosine.2..17.871	X.128869..galactonic.acid.2..18.504	X.5460673..D.saccharic.acid..18.614	X.3037582..mucic.acid..18.907	X.1549111..caffeic.acid..19.755	X.5280450..linoleic.acid..20.399	X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65	X.439958..D.glucose.6.phosphate.1..21.394	X.60961..adenosine..23.825	X.5460935..turanose.1..24.81	X.6255..maltose.1..24.702	X.6255..maltose..2..24.915	X.642609..trans.caftaric.acid.2..25.529	X.6537496..chlorogenic.acid.1..26.37	X.439451..galactinol.2..26.479	X.2116..alpha.tocophereol..27.379	X.6537496..chlorogenic.acid.2..27.18._alt	X.5321515..stigmasterol..28.442	X.5321342..beta.sitosterol..28.848	X.439242..Raffinose..29.282	X.750..glycine..10.456..s100	X.5951..L.serine.2..11.174..s100	X.92824..D.malic.acid..12.794..s100	X.33032..L.glutamic.acid.3..dehydrated...13.232..s100	X.444212..trans.aconitic.acid..15.842..s100	X.8742..shikimic.acid..16.433..s100	X.311..citric.acid..16.615..s100	X.6508..quinic.acid..17.076..s100	X.5984..fructose.1..17.18..s100	X.892..myo.inositol..19.354..s100	X.5988..Sucrose..23.988..s100	X.6537496..chlorogenic.acid.2..27.18..s100
B68	0.010100332	0.000176863	0.010460609	0.004139489	0.002371014	0.001291979	0.001997002	6.20E-05	0.015843371	0.016087324	0.000338935	0.013068286	0.003156123	0.001775501	0.070769255	0.00077	0.014955568	0.005583344	0.00435069	0.010297639	0.000580722	0.003314655	0.002120511	0.001570586	0.017699115	0.018231871	0.006833115	0.003854701	0.001555689	0.004748051	0.003718408	0.000506554	0.001161656	0.006837341	0.019442444	0.000691447	0.000720924	0.003230872	0.003041542	0.000187112	8.68E-05	0.024695728	0.000106657	0.002949782	0.003092308	0.002972128	NA	0.000557743	0.003757183	0.00264286	0.033223678	0.001106664	0.004938596	0.002880104	0.126159714	0.083384108	0.039027636	0.009939697	0.010124131	0.024141145	0.016282922	0.001943148	0.039172548	0.037222813	1.271510485	0.00454499
B73	0.004689713	0.000172746	0.018220971	0.00702317	0.005698821	0.000298919	0.006477783	3.65E-06	0.004449936	0.005039557	0.008566567	0.02753244	0.00797058	0.004064726	0.062323367	0.000936419	0.02786618	0.006836333	0.007504356	0.004003898	0.00139829	0.050442526	0.000759538	0.003553615	0.018248175	0.006216732	0.007501962	0.011917512	0.002026868	0.001203672	0.039225845	0.001804665	0.00154911	0.005027533	0.015676845	0.000311378	0.002251138	0.006375441	0.009940156	0.000946376	0.000249461	0.022810246	0.000375743	0.00164329	0.004629102	0.002746144	0.001131636	0.000632277	0.01520567	2.96E-05	0.020809603	NA	NA	0.006327888	0.356775336	0.337310917	0.013455542	0.011701258	0.006836284	0.023357303	0.014233215	0.022805698	0.063072855	0.034710416	0.776080965	0.033733805
B73Htrhm	0.009574888	0.000340852	0.010861403	0.005574251	0.009118899	0.000400033	0.012934571	3.09E-05	0.00518159	0.006029318	0.007219639	0.022846575	0.009218473	0.004775311	0.056872828	0.001015236	0.036340598	0.003642277	0.008117588	0.005888482	0.000966755	0.057265438	0.000945151	0.002388475	0.019455253	0.003698795	0.007978544	0.003741338	0.002688627	0.002717347	0.032146037	0.001395713	0.001722128	0.001915746	0.017035857	0.000687438	0.001441225	0.004602171	0.007248768	NA	0.000161262	0.020191889	0.0002443	0.003106783	0.003216544	0.004709833	0.000721636	0.001022506	0.012141109	NA	0.017733329	NA	NA	0.007071277	0.493816207	0.401475204	0.011000898	0.008445823	0.00623626	0.016968427	0.015492541	0.016524808	0.038014737	0.048776763	0.85423959	0.040352268
B75	0.010987093	0.000218441	0.024548681	0.003902813	0.010610621	0.000700294	0.00832608	4.87E-05	0.007888004	0.004376666	0.006431742	0.016551675	0.006521522	0.003422393	0.04410851	0.000474729	0.012059759	0.008472132	0.004262769	0.007856087	0.000852673	0.022741854	0.001388728	NA	0.017985612	0.007409852	0.003683615	0.016414259	0.008841043	0.001834326	0.008813584	0.000693409	0.001893065	0.002652655	0.013916849	0.000460323	0.000890718	0.003035057	0.015419553	0.000422078	0.000131168	0.015405704	0.000149196	0.002205426	0.004111663	0.003114808	0.007081215	9.16E-05	0.022788933	1.99E-05	0.003513606	NA	2.80E-05	0.00957584	0.213874921	0.167119147	0.018920435	0.009158347	0.008525394	0.013983399	0.013238462	0.008919773	0.045226948	0.029997118	0.704136204	0.001528826
B76	0.004216766	0.000213113	0.017306194	0.005109235	0.004269331	0.000349222	0.004099388	1.94E-05	0.010527436	0.004092371	0.007336335	0.01217573	0.006611847	0.001736833	0.069914893	0.001066515	0.015500741	0.004370655	0.007058587	0.004955466	0.000680783	0.057130507	0.001474188	0.000408565	0.017953321	0.031064334	0.004794858	0.002480944	0.001307159	0.003064269	0.014538404	0.001020016	0.000559778	0.001150892	0.014066392	0.000359093	0.001554403	0.001939183	0.008294331	0.001026438	0.000120887	0.026783348	0.000161916	0.001816215	0.003805823	0.002866973	0.001079478	0.000592839	0.029722092	0.002358035	0.045728976	0.001316019	0.006069135	0.019081618	0.264280062	0.10876998	0.012124254	0.006351532	0.006914974	0.021682285	0.012247187	0.003600909	0.053911186	0.05220037	0.572887668	0.009670719
B77	0.006083661	0.00029825	0.008373243	0.003404483	0.001415388	6.21E-05	0.00314124	3.02E-05	0.01002693	0.00848549	0.0005264	0.010861472	0.002122975	0.001716821	0.063055793	0.000958874	0.003957547	0.007264492	0.000398241	0.00519162	0.000454407	0.002464145	0.000695287	0.008177047	0.019455253	0.008548624	0.001883858	0.00235121	0.000562697	0.000815576	0.009116353	0.000866367	0.00023903	0.000865463	0.010425171	4.48E-05	0.001030867	0.007308659	0.0077069	0.000610736	0.000159296	0.013686959	3.81E-05	0.003097933	0.003685187	0.003902069	0.00012287	0.000323839	0.010920907	1.77E-05	0.004578992	NA	NA	0.010109503	0.076798934	0.033795006	0.03949309	0.012356922	0.026522922	0.04434796	0.021739597	0.057502103	0.104359264	0.104241726	0.777801286	0.000137981
B79	0.005508002	0.000171133	0.007303811	0.003664697	0.00136172	0.000665176	0.001533742	6.36E-05	0.030891643	0.007417825	0.000221911	0.005634197	0.001781459	0.000937476	0.071294302	0.000668068	0.00569899	0.008274934	0.004871636	0.006526956	0.000310731	0.002204925	0.001923949	0.001005328	0.019685039	0.017700635	0.00153352	0.001951535	0.000708057	0.001957597	0.00969672	0.000423243	0.000473298	0.003980767	0.012265713	0.000829468	0.000664231	0.003057919	0.001916608	0.001266448	7.05E-05	0.010896763	0.000158897	0.001487636	0.003197962	0.006961824	NA	0.000674909	0.015457278	0.00108169	0.031926003	0.001133358	0.006905818	0.024595273	0.052918795	0.058221351	0.023691189	0.00619733	0.021032285	0.021042453	0.020300197	0.002597896	0.044713306	0.03543002	0.58218809	0.013996104
B84	0.0082336	0.000122534	0.008065874	0.004597156	0.0026052	0.000781714	0.003259689	8.94E-05	0.01006498	0.012555998	0.000212519	0.012590493	0.001657189	0.001101436	0.062094494	0.000298956	0.012567382	0.008619052	0.000543739	0.006016598	0.000581838	0.000844011	0.000951729	0.001263271	0.019880716	0.012381349	0.001802605	0.001512344	0.000677371	0.002775501	0.003002092	0.000584927	0.000344149	0.001976167	0.012464869	0.000649913	0.000500034	0.002943285	0.007946486	0.000320981	0.000128026	0.006429908	0.000235801	0.00070912	0.00267951	0.000644078	0.000549002	0.000316747	0.036462499	0.000775079	0.016355707	0.000339	0.002080624	0.016025059	0.073164674	0.047055795	0.037837072	0.008965176	0.007905478	0.026368928	0.015583413	0.015947481	0.043434618	0.038584711	0.704263627	0.005051444
B97	0.008899753	0.000217367	0.01523469	0.003768296	0.003270676	0.001887273	0.003284448	3.87E-05	0.019471348	0.010181829	0.003954413	0.013753334	0.004788924	0.003250544	0.063146718	0.001139764	0.010097924	0.00849107	0.000124944	0.006427636	0.000586447	0.031905935	0.000711613	0.002760114	0.018761726	0.026138253	0.001548115	0.024878799	0.015464501	0.001184786	0.035512728	0.000725662	0.002502592	0.002124717	0.029705776	0.000644688	0.001656964	0.007320167	0.00736552	0.001477374	0.000118971	0.022543352	0.000389269	0.001316976	0.00780678	0.003953584	0.000253152	0.000788549	0.005502694	0.00130597	0.003694182	0.000977929	0.004743791	0.011719545	0.134280418	0.133276537	0.023446505	0.009975504	0.008211929	0.039354857	0.028443301	0.088775658	0.07590156	0.031473033	0.78051765	NA
B103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B104	0.00922886	0.000284026	0.009267277	0.003645533	0.003442376	0.001032955	0.003988776	8.26E-05	0.017963455	0.006131565	0.000260446	0.013126054	0.002435197	0.00119904	0.059071951	0.000367673	0.017107434	0.006877042	0.000131209	0.00620813	0.000538779	0.000948545	0.001216567	0.001680933	0.01984127	0.012792987	0.008591013	0.00268874	0.001240416	0.001665692	0.00673736	0.00113274	0.000552138	0.003191388	0.01628055	0.000425142	0.001342308	0.009758719	0.016698519	0.000972931	0.000182447	0.015476528	0.000139278	0.002467473	0.00445879	0.000976517	0.00029716	0.000160571	0.007521972	0.000525062	0.00946129	0.000911428	0.003721785	0.00197769	0.131942745	0.078855167	0.032589087	0.007218098	0.011342725	0.038855348	0.021665624	0.057569144	0.031212323	0.046430384	0.456269887	0.000883849
B105	0.013301617	0.000152483	0.012173618	0.005361147	0.003706309	0.001050575	0.003628818	0.000183196	0.01940871	0.006533898	0.00092003	0.015479785	0.002571358	0.001172143	0.084779277	0.000293559	0.001744884	0.005072043	0.001308629	0.009252676	0.00051064	0.003774416	0.001566818	0.000812839	0.018832392	0.014415912	0.006115936	0.00198964	0.000858132	0.002725529	0.001915457	NA	0.000521305	0.002640276	0.012373959	0.000693701	0.000885334	0.001775596	0.011933452	0.000701464	0.002328424	0.018006593	0.000340877	0.003225369	0.002444052	0.001749474	0.000212559	0.000898564	0.016222424	0.002171756	0.040416705	0.000814054	0.006490495	0.022539848	0.077453178	0.096637333	0.022877675	0.012057681	0.014337632	0.054171626	0.0157968	0.052790627	0.062952692	0.063981927	1.426617185	0.017711959
B109	0.005960369	0.000147015	0.011039256	0.002852244	0.002910928	0.000882917	0.003423465	6.79E-05	0.008141467	0.026159928	0.0002513	0.011101363	0.003060924	0.001616004	0.068609637	0.000538484	0.01160319	0.007397063	0.00549404	0.003832987	0.000550685	0.001156962	0.001228344	0.001848976	0.020120724	0.008494678	0.004763989	0.002601496	0.00119776	0.001703728	0.00077394	0.000973953	0.000528602	0.002757012	0.01811452	0.000738663	0.001231988	0.003525652	0.012580511	0.000288399	0.000102242	0.015769404	0.000186101	0.000734688	0.003020347	0.003196953	0.000501882	0.000416699	0.019915301	0.000395058	0.011395228	0.000264439	0.000966942	0.014607914	0.100252194	0.096505617	0.03519042	0.010787043	0.010608351	0.040938348	0.020180288	0.020323242	0.036733128	0.034207614	0.597022037	0.006641388
B164	0.015281451	0.000188314	0.020896953	0.012965894	0.006879407	0.000691752	0.007210459	1.52E-05	0.019938106	0.016366307	0.00381901	0.019047222	0.010076933	0.002097243	0.076797603	0.001033421	0.023415798	0.006192063	0.004709794	0.012205478	0.000646326	0.027522488	0.001039281	NA	0.018214936	0.022781191	0.007965366	0.004854285	0.00172908	0.003593885	0.010468335	0.000689949	0.001249331	0.002456892	0.015691884	0.000394457	0.002080866	0.007802545	0.007934164	7.95E-05	0.000236844	0.017776456	0.000653939	0.003784102	0.003509745	0.004606071	0.000189015	0.000279766	0.00136923	0.002829663	0.016768678	0.000558781	0.004126523	0.010808301	0.162079843	0.140455858	0.109528174	0.002177789	0.028619074	0.038346019	0.054783325	0.020762103	0.098577665	0.115669078	0.874463152	0.000615629
C49A	0.007767441	0.000181908	0.016843051	0.004923046	0.005227324	0.001389648	0.005174895	7.27E-05	0.01150891	0.011991079	0.016658362	0.014964746	0.00749839	0.002598932	0.082241155	0.001163138	0.016101308	0.01675323	7.68E-05	0.003370856	0.001293337	0.084152526	0.001439605	0.002076797	0.020661157	0.023464658	0.002539704	0.00646473	0.004714151	0.000699098	0.034032922	0.000649759	0.001216907	0.003700473	0.018273386	0.000395644	0.001434558	0.001699591	0.01260458	0.001564139	0.00016759	0.016122528	0.000339506	0.00082631	0.002448956	0.00200799	0.01498545	0.000722687	0.000881933	0.000753794	0.013650498	0.001406437	0.0039824	0.001038605	0.171455151	0.119531825	0.018389511	0.009804461	0.004572793	0.018792704	0.017917481	0.003432053	0.042522058	0.044174163	0.588611877	0.001180076
C103	0.002942409	0.000232518	0.008967116	0.004320985	0.00443961	0.000575837	0.004591173	8.99E-05	0.002467593	0.008664306	0.005339962	0.01144329	0.009523834	0.003122113	0.082100603	0.000390012	0.003769062	0.004897263	0.001017968	0.00227123	0.000753459	0.03647951	0.002048682	NA	0.020491803	0.013378079	0.006949731	0.007600971	0.004923575	0.002096889	0.008851204	0.000633951	0.001445713	0.001767073	0.02149387	0.000488509	0.000848864	0.004885338	0.008721221	0.000757434	0.000269935	0.015938995	4.19E-05	0.002741125	0.004292086	0.002051521	0.000477466	9.55E-05	0.030202914	0.001106053	0.00220239	0.000540312	0.002651462	0.065476675	0.129250906	0.082347201	0.021367427	0.00680123	0.014615761	0.034711055	0.013965927	0.026747834	0.064074746	0.024187046	0.576953578	0.00657544
C123	0.007598926	0.000254843	0.019774475	0.005787027	0.005174526	0.001191529	0.005658778	9.77E-05	0.00560797	0.008965749	0.001113633	0.013281142	0.003283932	0.001790857	0.07494497	0.001057464	0.015836072	0.007943013	0.003457572	0.005112198	0.001260985	0.004356394	0.001656564	0.00244875	0.019569472	0.0037127	0.004169809	0.002483079	0.001308828	0.000780268	0.014923678	0.000893632	0.00059049	0.002842961	0.025438329	0.000325325	0.000847842	0.00397296	0.0134805	NA	0.000119809	0.015578263	0.000327549	0.000863694	0.004554269	0.00247846	0.000662626	0.000430878	0.012957926	NA	0.011562306	NA	NA	0.005057226	0.1284243	0.092778882	0.028515189	0.01254233	0.00817256	0.029981324	0.021951942	0.014220368	0.052253983	0.064017429	1.100764166	0.018819223
CH9	0.005870421	0.00024654	0.016185207	0.003997536	0.004198166	3.30E-05	0.003902648	6.07E-05	0.024285395	0.006937264	0.000361145	0.010343821	0.003951172	0.001898681	0.070972278	0.000833883	0.01232273	0.005836556	0.000665015	0.0051737	0.000977807	0.002463807	0.002132266	0.001450602	0.019607843	0.007382672	0.002904784	0.002231472	0.0015664	0.002078003	0.004131062	0.000788598	0.000434612	0.001282303	0.018436566	0.000719733	0.000835644	0.001105764	0.006331909	NA	8.93E-05	0.011960165	0.000258131	0.002330622	0.004042367	0.002579662	0.000696834	0.001154743	0.016292766	0.000893714	0.02004524	0.000651436	0.003062287	0.01480347	0.123526515	0.086038945	0.037125535	0.008944691	0.027548489	0.029971713	0.01817901	0.008312335	0.048474141	0.034436818	0.766796034	0.009359825
CH701-30	0.010807408	0.000300308	0.018832953	0.004691432	0.003149593	0.000351348	0.003239568	3.21E-05	0.008852536	0.007392798	0.001697	0.012208134	0.004002006	0.003526947	0.066866645	0.000905738	0.008375727	0.005535435	0.001072224	0.007053407	0.001249989	0.01963141	0.000963777	0.001376422	0.018018018	0.004084641	0.004290939	0.003347967	0.001573046	0.002919768	0.001810746	0.001106494	0.000753736	0.000567076	0.023866449	0.000515696	0.00141599	0.008220955	0.008671369	NA	0.00026633	0.016371086	0.000131197	NA	0.003298191	0.002887394	NA	0.002568954	0.013609687	NA	0.04452405	NA	NA	0.0919982	0.177511871	0.13288843	0.017568677	0.01051236	0.024486309	0.043441841	0.021956686	0.049188967	0.066158523	0.069020991	1.460574491	0.008265655
CI3A	0.019511892	0.000305418	0.029708625	0.0060236	0.005321793	0.00040331	0.004914828	1.74E-05	0.017926566	0.005341775	0.003658791	0.018313625	0.004579631	0.003141882	0.091767254	0.000352848	0.02035039	0.006442538	0.00016997	0.01430743	0.001561377	0.024905684	0.002137923	0.000733531	0.025	0.009036022	0.007152587	0.004960003	0.001547226	0.00248455	0.007495405	0.001109005	0.000738507	0.001082957	0.026409291	0.000341573	0.001023942	0.004161781	0.008256461	0.000532226	5.24E-05	0.024879481	0.000345072	0.003797737	0.003792994	0.002785925	0.000128761	0.000170592	0.001974407	0.00257941	0.003089865	0.000671406	0.004092658	0.002331841	0.392901879	0.174695546	0.018067154	0.013917884	0.006219555	0.036108212	0.027548713	0.003148921	0.096781489	0.042223382	1.212343424	0.005280097
Ci7Goodman-Buckler	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CI21E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CI28AGoodman-Buckler	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CI31A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CI64	0.003934017	0.000141754	0.044795371	0.005197385	0.013501532	0.001131061	0.010601086	9.79E-05	0.018774922	0.004888885	0.016552962	0.02989363	0.004698386	0.003677284	0.070714553	0.000777972	0.009120121	0.00581077	0.002187952	0.004284515	0.000777378	0.063510051	0.000450632	NA	0.019685039	0.015234155	0.002700339	0.009998713	0.004692556	0.001388118	0.02064768	0.000859105	0.001176945	0.002286683	0.033554073	0.000504289	0.000900671	0.006869227	0.010905376	0.000513898	0.000389094	0.016738278	0.000231416	0.00172539	0.004174448	0.002039721	0.000247718	0.003908538	0.028881543	0.000844693	0.053551337	0.001861044	0.00221246	0.008546034	0.479014555	0.241356478	0.023103078	0.013403722	0.02426032	0.042257218	0.023598187	0.006525889	0.056269387	0.0509246	0.705010737	0.008142448
CI66	0.01668872	9.33E-05	0.020765258	0.004428365	0.00710515	9.14E-05	0.008584004	7.08E-05	0.013494923	0.010444597	0.0458621	0.031430764	0.003440263	0.003766855	0.073372289	0.001623095	0.038027739	0.005344987	0.000254471	0.007182522	0.000741125	0.102035253	0.003007156	0.003132822	0.017730496	0.019234459	0.001423195	0.020206292	0.011902187	0.0016083	0.054336194	0.001374709	0.004956907	0.001640133	0.033429065	0.000455333	0.000532257	0.00231266	0.011431867	0.000663496	0.000211814	0.018939379	0.000277209	0.000989511	0.004260938	0.002860993	0.000668876	0.000877615	0.004148658	0.00168279	0.001057084	0.000732798	0.004438357	0.003125264	0.458531004	0.162509584	0.013980736	0.007787042	0.008865248	0.016065267	0.022444652	0.013950786	0.055036419	0.06061913	0.680455722	0.001743099
Ci90CGoodman-Buckler	0.014357066	0.000215817	0.021646151	0.004620228	0.007233045	0.001405737	0.006183045	0.000115555	0.019921122	0.008388749	0.001554885	0.017555901	0.003535701	0.00332258	0.060419421	0.000751237	0.002743302	0.007644356	0.001370018	0.010207664	0.001035329	0.007494793	0.001060627	0.001140463	0.017793594	0.007882827	0.002265997	0.003887343	0.002379685	0.000392804	0.002118196	0.000679384	0.000679903	0.003151192	0.024772045	0.00038088	0.001281576	0.010868126	0.015575914	5.09E-05	0.00040058	0.014965168	0.00056751	0.001959561	0.002967414	0.000947405	5.82E-05	0.000947146	0.01713925	2.23E-05	0.052050527	NA	NA	0.010904208	0.110237194	0.152517246	0.03597731	0.013167868	0.015250205	0.015108342	0.01453076	0.005633963	0.041018491	0.031934233	1.195686979	0.019582073
Ci91BGoodman-Buckler	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CI187-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM7	0.006389888	0.00010142	0.028154862	0.007404572	0.007300534	NA	0.008103008	2.63E-05	0.00546181	0.009515036	0.004161399	0.019226988	0.00511807	0.001225104	0.063251015	0.000706634	0.021512526	0.004695164	0.000382531	0.004077135	0.000718692	0.022429373	0.000917743	NA	0.01996008	0.014670037	0.003333157	0.002802147	0.001576768	0.001188312	0.042916466	0.000950677	0.000931385	0.003142718	0.031672945	0.000374263	0.000498282	0.002811173	0.008576899	0.001386122	7.59E-05	0.018313035	6.44E-05	0.000599978	0.00368923	0.003941333	0.000536383	0.007412151	0.007632148	0.000834788	0.00819616	0.000747905	0.002625213	0.005905041	0.502287971	0.146447927	0.016962737	0.009647002	0.005406318	0.023273808	0.018344845	0.035174368	0.090480885	0.031283373	0.810609038	0.019022023
CM37	0.003965471	0.00012396	0.012256568	0.0036549	0.001997229	0.000479382	0.002418046	4.03E-05	0.007106516	0.015590893	0.000336815	0.007942289	0.003612307	0.001270626	0.061752165	0.001374796	0.013486376	0.008991186	0.000249479	0.003665817	0.000556286	0.00192936	0.001229755	0.002383251	0.018484288	0.022029157	0.002791377	0.002029603	0.000921872	0.001815887	0.014428523	0.001434759	0.000370373	0.00124535	0.019920714	0.000474327	0.001336989	0.00348668	0.006597932	0.00080157	7.67E-05	0.018234326	6.90E-05	0.000889874	0.007858233	0.003098668	0.000260557	0.014443366	0.008052105	0.001070624	0.016108243	0.000878258	0.004061412	0.002979548	0.233703778	0.059515125	0.030905302	0.015974655	0.01653012	0.052970001	0.023583864	0.041519379	0.169845313	0.04242954	1.15676711	0.02573211
CM105	0.004593354	0.000256411	0.013881329	0.004468904	0.004641232	0.001572133	0.004166776	0.000114993	0.008003163	0.018314567	0.004918123	0.014068679	0.003607427	0.003411755	0.067817813	0.001299024	0.002633929	0.006995405	9.12E-05	0.0040587	0.000551352	0.026290333	0.001650867	0.001028617	0.018552876	0.015065792	0.004627668	0.003949435	0.002451983	0.000977983	0.019094284	0.000537302	0.001087356	0.00675834	0.019966839	0.000454407	0.001065795	0.006576717	0.011845548	NA	0.000759561	0.015492153	0.000260896	0.00108379	0.001892255	0.003288656	0.000562483	0.000236849	0.004130138	0.00084278	0.00350443	0.000995113	0.002161744	0.000974362	0.133832093	0.094368858	0.022161506	0.011990151	0.010211901	0.019114733	0.01950282	0.010964906	0.034916246	0.03687985	0.666322215	0.002606554
CM174	0.004093134	0.000412427	0.018593221	0.006904849	0.005555024	0.001237762	0.006751657	3.77E-05	0.005869176	0.011774362	0.009977545	0.017498475	0.005635353	0.004404155	0.073284461	0.001535655	0.005227684	0.006849148	0.000124529	0.002748427	0.000819072	0.049107914	0.001274735	NA	0.021645022	0.02330081	0.009138842	0.003988116	0.001961029	0.000732721	0.037459286	0.00091837	0.001027785	0.004227177	0.023869741	0.000288379	0.001343804	0.008946629	0.011178875	0.000845628	0.000243759	0.025846607	0.000133923	0.00302669	0.002580783	0.002635098	0.001060001	0.000788723	0.007845139	0.001643805	0.010475239	0.00171998	0.003191926	0.002428494	0.150496208	0.079338953	0.016948233	0.009471958	0.004618409	0.014024045	0.011220442	0.024460683	0.033383979	0.030483908	0.349539968	0.001965537
CML5	0.016020208	0.000212747	0.020122954	0.009462908	0.007250215	0.002224448	0.008353862	4.24E-05	0.014824505	0.002541348	0.031094638	0.026012489	0.00338639	0.003613489	0.109078798	0.001132761	0.00200719	0.004604236	0.003704657	0.010640364	0.000998333	0.09218792	0.001519505	NA	0.021367521	0.018274863	0.001870029	0.008836079	0.004806254	0.002350333	0.043136139	0.00059956	0.003075163	0.001732731	0.022720957	0.000330636	0.001059088	0.001094148	0.011087932	0.000997786	9.21E-05	0.016625372	0.000342869	0.001232061	0.002068971	0.003022677	0.001481371	0.002132802	0.019926267	0.001981152	0.029842621	0.00048338	0.002790657	0.01102745	0.115810309	0.106589073	0.009367807	0.012949241	0.004186836	0.01493751	0.022164104	0.009189372	0.034673631	0.074107637	0.819440939	NA
CML10	0.009300194	0.000363735	0.016451243	0.005552771	0.00551798	0.000798071	0.005132017	5.73E-05	0.012320706	0.003938725	0.010716426	0.019807209	0.006177393	0.003792896	0.067279596	0.00215062	0.006409845	0.00759688	0.000803971	0.007482281	0.002552961	0.052086599	0.001257686	0.000878488	0.020790021	0.005342547	0.005029168	0.009175982	0.003870872	0.001739886	0.011316479	0.000477927	0.00177366	0.002992994	0.02029419	0.000446238	0.00030641	0.002697469	0.002689686	0.00028108	0.000144762	0.017242294	0.000250205	0.0016231	0.005472099	0.006696927	1.93E-05	0.004623418	0.004877692	NA	0.03016168	NA	NA	0.013444566	0.164927219	0.116224242	0.018181622	0.020280688	0.014434942	0.062690324	0.017066493	0.002164663	0.087269469	0.037397343	0.96317064	0.007659278
