TF_ID	Gene_ID_V3	Family	Gene_ID_V4
GRMZM2G054252_P01	GRMZM2G054252	NAC	Zm00001d031655
GRMZM2G054252_P02	GRMZM2G054252	NAC	Zm00001d031655
GRMZM2G054277_P01	GRMZM2G054277	NAC	Zm00001d021069
GRMZM2G054277_P02	GRMZM2G054277	NAC	Zm00001d021069
GRMZM2G054564_P02	GRMZM2G054564	bHLH	Zm00001d023882
GRMZM2G054615_P01	GRMZM2G054615	GATA	Zm00001d025953
GRMZM2G054615_P02	GRMZM2G054615	GATA	Zm00001d025953
GRMZM2G054795_P01	GRMZM2G054795	YABBY	Zm00001d002829
GRMZM2G054795_P02	GRMZM2G054795	YABBY	Zm00001d002829
GRMZM2G055024_P01	GRMZM2G055024	TCP	Zm00001d048674
GRMZM2G055263_P01	GRMZM2G055263	GRAS	Zm00001d028526
GRMZM2G055413_P01	GRMZM2G055413	bZIP	Zm00001d036400
GRMZM2G055413_P02	GRMZM2G055413	bZIP	Zm00001d036400
GRMZM2G055413_P03	GRMZM2G055413	bZIP	Zm00001d036400
GRMZM2G055413_P04	GRMZM2G055413	bZIP	Zm00001d036400
GRMZM2G055413_P05	GRMZM2G055413	bZIP	Zm00001d036400
GRMZM2G055413_P06	GRMZM2G055413	bZIP	Zm00001d036400
GRMZM2G055413_P07	GRMZM2G055413	bZIP	Zm00001d036400
GRMZM2G056099_P01	GRMZM2G056099	bZIP	NA
GRMZM2G056099_P02	GRMZM2G056099	bZIP	NA
GRMZM2G056929_P01	GRMZM2G056929	S1Fa-like	Zm00001d003822
GRMZM2G056929_P02	GRMZM2G056929	S1Fa-like	Zm00001d003822
GRMZM2G057011_P01	GRMZM2G057011	WRKY	Zm00001d005749
GRMZM2G057116_P01	GRMZM2G057116	WRKY	Zm00001d009939
GRMZM2G057116_P02	GRMZM2G057116	WRKY	Zm00001d009939
GRMZM2G057131_P01	GRMZM2G057131	Nin-like	Zm00001d002661
GRMZM2G057131_P02	GRMZM2G057131	Nin-like	Zm00001d002661
GRMZM2G057131_P03	GRMZM2G057131	Nin-like	Zm00001d002661
GRMZM2G057131_P04	GRMZM2G057131	Nin-like	Zm00001d002661
GRMZM2G057260_P01	GRMZM2G057260	bHLH	Zm00001d021988
GRMZM2G057413_P01	GRMZM2G057413	bHLH	Zm00001d042062
GRMZM2G057413_P02	GRMZM2G057413	bHLH	Zm00001d042062
GRMZM2G058451_P01	GRMZM2G058451	bHLH	Zm00001d021701
GRMZM2G058479_P01	GRMZM2G058479	GATA	Zm00001d014656
GRMZM2G058479_P02	GRMZM2G058479	GATA	Zm00001d014656
GRMZM2G058518_P01	GRMZM2G058518	NAC	Zm00001d043921
GRMZM2G058588_P01	GRMZM2G058588	SBP	Zm00001d026491
GRMZM2G059428_P01	GRMZM2G059428	NAC	Zm00001d027530
GRMZM2G059428_P02	GRMZM2G059428	NAC	Zm00001d027530
GRMZM2G059428_P03	GRMZM2G059428	NAC	Zm00001d027530
GRMZM2G059562_P01	GRMZM2G059562	WRKY	Zm00001d043060
GRMZM2G059678_P01	GRMZM2G059678	CPP	Zm00001d043378
GRMZM2G059851_P01	GRMZM2G059851	HSF	Zm00001d016674
GRMZM2G060000_P01	GRMZM2G060000	E2F/DP	Zm00001d037274
GRMZM2G060000_P02	GRMZM2G060000	E2F/DP	Zm00001d037274
GRMZM2G060109_P01	GRMZM2G060109	bZIP	Zm00001d007042
GRMZM2G060116_P01	GRMZM2G060116	NAC	Zm00001d042246
GRMZM2G060170_P04	GRMZM2G060170	CPP	Zm00001d038660
GRMZM2G060216_P01	GRMZM2G060216	bZIP	Zm00001d042777
GRMZM2G060216_P02	GRMZM2G060216	bZIP	Zm00001d042777
GRMZM2G060265_P01	GRMZM2G060265	GRAS	Zm00001d027292
GRMZM2G060290_P01	GRMZM2G060290	bZIP	Zm00001d046751
GRMZM2G060319_P01	GRMZM2G060319	TCP	Zm00001d050389
GRMZM2G060544_P01	GRMZM2G060544	LBD	Zm00001d029506
GRMZM2G060918_P01	GRMZM2G060918	WRKY	NA
GRMZM2G061292_P01	GRMZM2G061292	Dof	Zm00001d013724
GRMZM2G061408_P01	GRMZM2G061408	WRKY	NA
GRMZM2G061734_P01	GRMZM2G061734	SBP	Zm00001d006091
GRMZM2G061906_P01	GRMZM2G061906	bHLH	Zm00001d038357
GRMZM2G062009_P01	GRMZM2G062009	NAC	Zm00001d051140
GRMZM2G062009_P02	GRMZM2G062009	NAC	Zm00001d051140
GRMZM2G062391_P01	GRMZM2G062391	bZIP	Zm00001d029064
GRMZM2G062541_P01	GRMZM2G062541	bHLH	Zm00001d024783
GRMZM2G062650_P01	GRMZM2G062650	NAC	Zm00001d040189
GRMZM2G062650_P02	GRMZM2G062650	NAC	Zm00001d040189
GRMZM2G062651_P01	GRMZM2G062651	VOZ	Zm00001d022146
GRMZM2G062711_P01	GRMZM2G062711	TCP	NA
GRMZM2G063203_P01	GRMZM2G063203	Trihelix	Zm00001d051316
GRMZM2G063203_P02	GRMZM2G063203	Trihelix	Zm00001d051316
GRMZM2G063203_P03	GRMZM2G063203	Trihelix	Zm00001d051316
GRMZM2G063216_P01	GRMZM2G063216	WRKY	Zm00001d052357
GRMZM2G063216_P03	GRMZM2G063216	WRKY	Zm00001d052357
GRMZM2G063387_P01	GRMZM2G063387	E2F/DP	Zm00001d048412
GRMZM2G063522_P01	GRMZM2G063522	NAC	Zm00001d014405
GRMZM2G063880_P01	GRMZM2G063880	WRKY	Zm00001d009619
GRMZM2G064426_P01	GRMZM2G064426	NF-YB	Zm00001d010574
GRMZM2G064426_P02	GRMZM2G064426	NF-YB	Zm00001d010574
GRMZM2G064541_P01	GRMZM2G064541	NAC	Zm00001d040318
GRMZM2G064628_P01	GRMZM2G064628	TCP	Zm00001d020433
GRMZM2G064638_P01	GRMZM2G064638	bHLH	Zm00001d016095
GRMZM2G064655_P01	GRMZM2G064655	Dof	Zm00001d006463
GRMZM2G065290_P01	GRMZM2G065290	WRKY	Zm00001d043063
GRMZM2G065374_P01	GRMZM2G065374	bHLH	Zm00001d034298
GRMZM2G065451_P01	GRMZM2G065451	SBP	Zm00001d053890
GRMZM2G065451_P02	GRMZM2G065451	SBP	Zm00001d053890
GRMZM2G065896_P01	GRMZM2G065896	GATA	Zm00001d013331
GRMZM2G066057_P01	GRMZM2G066057	bHLH	Zm00001d008444
GRMZM2G066373_P01	GRMZM2G066373	GeBP	Zm00001d044953
GRMZM2G066734_P01	GRMZM2G066734	bZIP	Zm00001d047644
GRMZM2G067171_P01	GRMZM2G067171	GATA	Zm00001d041883
GRMZM2G067624_P01	GRMZM2G067624	SBP	Zm00001d021573
GRMZM2G067624_P02	GRMZM2G067624	SBP	Zm00001d021573
GRMZM2G067654_P01	GRMZM2G067654	bHLH	Zm00001d045107
GRMZM2G067921_P01	GRMZM2G067921	bZIP	Zm00001d022613
GRMZM2G068330_P01	GRMZM2G068330	ZF-HD	Zm00001d049000
GRMZM2G068330_P02	GRMZM2G068330	ZF-HD	Zm00001d049000
GRMZM2G068330_P03	GRMZM2G068330	ZF-HD	Zm00001d049000
GRMZM2G068330_P04	GRMZM2G068330	ZF-HD	Zm00001d049000
GRMZM2G068604_P01	GRMZM2G068604	bHLH	Zm00001d031167
GRMZM2G068973_P01	GRMZM2G068973	NAC	Zm00001d012527
GRMZM2G069047_P01	GRMZM2G069047	NAC	Zm00001d049678
GRMZM2G069047_P02	GRMZM2G069047	NAC	Zm00001d049678
GRMZM2G069365_P01	GRMZM2G069365	ZF-HD	Zm00001d051573
GRMZM2G069408_P01	GRMZM2G069408	bHLH	Zm00001d041926
GRMZM2G069486_P01	GRMZM2G069486	BES1	Zm00001d053975
GRMZM2G069486_P02	GRMZM2G069486	BES1	Zm00001d053975
GRMZM2G069486_P03	GRMZM2G069486	BES1	Zm00001d053975
GRMZM2G070211_P01	GRMZM2G070211	WRKY	NA
GRMZM2G070371_P01	GRMZM2G070371	GRAS	Zm00001d007713
GRMZM2G071112_P01	GRMZM2G071112	ZF-HD	Zm00001d020459
GRMZM2G071322_P01	GRMZM2G071322	Nin-like	Zm00001d044519
GRMZM2G071907_P01	GRMZM2G071907	WRKY	Zm00001d002405
GRMZM2G071907_P03	GRMZM2G071907	WRKY	Zm00001d002405
GRMZM2G072376_P01	GRMZM2G072376	bHLH	NA
GRMZM2G072820_P01	GRMZM2G072820	bHLH	Zm00001d002121
GRMZM2G073044_P01	GRMZM2G073044	LBD	Zm00001d010751
GRMZM2G073272_P01	GRMZM2G073272	WRKY	Zm00001d016457
GRMZM2G073427_P01	GRMZM2G073427	bZIP	Zm00001d030995
GRMZM2G073427_P02	GRMZM2G073427	bZIP	Zm00001d030995
GRMZM2G073427_P03	GRMZM2G073427	bZIP	Zm00001d030995
GRMZM2G073427_P04	GRMZM2G073427	bZIP	Zm00001d030995
GRMZM2G073427_P07	GRMZM2G073427	bZIP	Zm00001d030995
GRMZM2G073779_P01	GRMZM2G073779	GRAS	NA
GRMZM2G073805_P01	GRMZM2G073805	GRAS	Zm00001d048602
GRMZM2G073823_P01	GRMZM2G073823	GRAS	Zm00001d048601
GRMZM2G073892_P01	GRMZM2G073892	bZIP	Zm00001d018571
GRMZM2G073892_P02	GRMZM2G073892	bZIP	Zm00001d018571
GRMZM2G074124_P01	GRMZM2G074124	YABBY	NA
GRMZM2G074124_P02	GRMZM2G074124	YABBY	NA
GRMZM2G074124_P03	GRMZM2G074124	YABBY	NA
GRMZM2G074124_P04	GRMZM2G074124	YABBY	NA
GRMZM2G074124_P05	GRMZM2G074124	YABBY	NA
GRMZM2G074358_P01	GRMZM2G074358	NAC	Zm00001d036364
GRMZM2G074373_P01	GRMZM2G074373	bZIP	Zm00001d041142
GRMZM2G074373_P02	GRMZM2G074373	bZIP	Zm00001d041142
GRMZM2G074438_P01	GRMZM2G074438	bHLH	Zm00001d036807
GRMZM2G074501_P01	GRMZM2G074501	bHLH	Zm00001d034091
GRMZM2G074543_P01	GRMZM2G074543	YABBY	Zm00001d013895
GRMZM2G074543_P02	GRMZM2G074543	YABBY	Zm00001d013895
GRMZM2G074543_P03	GRMZM2G074543	YABBY	Zm00001d013895
GRMZM2G074543_P04	GRMZM2G074543	YABBY	Zm00001d013895
GRMZM2G074773_P01	GRMZM2G074773	NF-YC	Zm00001d026648
GRMZM2G075122_P01	GRMZM2G075122	GeBP	Zm00001d006945
GRMZM2G075122_P02	GRMZM2G075122	GeBP	Zm00001d006945
GRMZM2G075499_P01	GRMZM2G075499	LBD	Zm00001d051891
GRMZM2G076327_P01	GRMZM2G076327	LBD	Zm00001d030364
GRMZM2G076636_P01	GRMZM2G076636	bHLH	Zm00001d009013
GRMZM2G076636_P02	GRMZM2G076636	bHLH	Zm00001d009013
GRMZM2G076657_P01	GRMZM2G076657	WRKY	Zm00001d041740
GRMZM2G076657_P02	GRMZM2G076657	WRKY	Zm00001d041740
GRMZM2G077002_P01	GRMZM2G077002	GATA	Zm00001d002790
GRMZM2G077045_P02	GRMZM2G077045	NAC	Zm00001d028178
GRMZM2G077124_P01	GRMZM2G077124	bZIP	Zm00001d022550
GRMZM2G077124_P02	GRMZM2G077124	bZIP	Zm00001d022550
GRMZM2G077124_P03	GRMZM2G077124	bZIP	Zm00001d022550
GRMZM2G077752_P01	GRMZM2G077752	SRS	Zm00001d011843
GRMZM2G077755_P01	GRMZM2G077755	TCP	Zm00001d018045
GRMZM2G078077_P01	GRMZM2G078077	TCP	Zm00001d051216
GRMZM2G078691_P01	GRMZM2G078691	NF-YC	Zm00001d020874
GRMZM2G078954_P01	GRMZM2G078954	NAC	NA
GRMZM2G079185_P01	GRMZM2G079185	LBD	Zm00001d013625
GRMZM2G079365_P01	GRMZM2G079365	bZIP	Zm00001d053162
GRMZM2G079470_P01	GRMZM2G079470	GRAS	Zm00001d029855
GRMZM2G079632_P01	GRMZM2G079632	NAC	Zm00001d019207
GRMZM2G079632_P02	GRMZM2G079632	NAC	Zm00001d019207
GRMZM2G079768_P01	GRMZM2G079768	LBD	Zm00001d050269
GRMZM2G080054_P01	GRMZM2G080054	bHLH	Zm00001d002288
GRMZM2G080054_P02	GRMZM2G080054	bHLH	Zm00001d002288
GRMZM2G080054_P03	GRMZM2G080054	bHLH	Zm00001d002288
GRMZM2G080111_P01	GRMZM2G080111	bZIP	Zm00001d015664
GRMZM2G080168_P01	GRMZM2G080168	bHLH	Zm00001d049158
GRMZM2G080168_P02	GRMZM2G080168	bHLH	Zm00001d049158
GRMZM2G080295_P01	GRMZM2G080295	SRS	Zm00001d006209
GRMZM2G080509_P01	GRMZM2G080509	GATA	Zm00001d036494
GRMZM2G080509_P02	GRMZM2G080509	GATA	Zm00001d036494
GRMZM2G080583_P01	GRMZM2G080583	Trihelix	Zm00001d043902
GRMZM2G080731_P01	GRMZM2G080731	bZIP	Zm00001d010658
GRMZM2G080731_P02	GRMZM2G080731	bZIP	Zm00001d010658
GRMZM2G080731_P03	GRMZM2G080731	bZIP	Zm00001d010658
GRMZM2G080731_P04	GRMZM2G080731	bZIP	Zm00001d010658
GRMZM2G081127_P01	GRMZM2G081127	SBP	Zm00001d008176
GRMZM2G081127_P02	GRMZM2G081127	SBP	Zm00001d008176
GRMZM2G081445_P01	GRMZM2G081445	Trihelix	Zm00001d001894
GRMZM2G081816_P01	GRMZM2G081816	bHLH	Zm00001d044242
GRMZM2G081816_P02	GRMZM2G081816	bHLH	Zm00001d044242
GRMZM2G081816_P03	GRMZM2G081816	bHLH	Zm00001d044242
GRMZM2G081930_P01	GRMZM2G081930	NAC	Zm00001d003052
GRMZM2G082318_P01	GRMZM2G082318	GeBP	Zm00001d022266
GRMZM2G082343_P01	GRMZM2G082343	bHLH	Zm00001d013370
GRMZM2G082387_P01	GRMZM2G082387	GRAS	Zm00001d042127
GRMZM2G082490_P01	GRMZM2G082490	Dof	Zm00001d012703
GRMZM2G082586_P01	GRMZM2G082586	bHLH	Zm00001d020790
GRMZM2G082630_P01	GRMZM2G082630	bHLH	Zm00001d031818
GRMZM2G082709_P01	GRMZM2G082709	NAC	Zm00001d030023
GRMZM2G083347_P01	GRMZM2G083347	NAC	Zm00001d023669
GRMZM2G083347_P02	GRMZM2G083347	NAC	Zm00001d023669
GRMZM2G083350_P01	GRMZM2G083350	WRKY	Zm00001d008794
GRMZM2G083374_P01	GRMZM2G083374	FAR1	NA
GRMZM2G083504_P01	GRMZM2G083504	bHLH	Zm00001d006065
GRMZM2G083504_P02	GRMZM2G083504	bHLH	Zm00001d006065
GRMZM2G083504_P03	GRMZM2G083504	bHLH	Zm00001d006065
GRMZM2G083717_P01	GRMZM2G083717	WRKY	Zm00001d034888
GRMZM2G083886_P01	GRMZM2G083886	GeBP	Zm00001d018208
GRMZM2G083964_P01	GRMZM2G083964	NF-YC	Zm00001d034872
GRMZM2G083964_P02	GRMZM2G083964	NF-YC	Zm00001d034872
GRMZM2G084130_P01	GRMZM2G084130	Dof	Zm00001d013200
GRMZM2G084684_P01	GRMZM2G084684	Trihelix	Zm00001d016604
GRMZM2G085467_P02	GRMZM2G085467	bHLH	Zm00001d020932
GRMZM2G085751_P01	GRMZM2G085751	bHLH	Zm00001d053391
GRMZM2G085873_P01	GRMZM2G085873	YABBY	Zm00001d033508
GRMZM2G086072_P01	GRMZM2G086072	E2F/DP	Zm00001d027709
GRMZM2G086474_P01	GRMZM2G086474	bHLH	Zm00001d026046
GRMZM2G086474_P02	GRMZM2G086474	bHLH	Zm00001d026046
GRMZM2G086768_P01	GRMZM2G086768	NAC	NA
GRMZM2G086880_P01	GRMZM2G086880	HSF	Zm00001d011406
GRMZM2G087787_P01	GRMZM2G087787	NF-X1	Zm00001d037356
GRMZM2G088140_P02	GRMZM2G088140	bZIP	Zm00001d024041
GRMZM2G088140_P03	GRMZM2G088140	bZIP	Zm00001d024041
GRMZM2G088242_P01	GRMZM2G088242	HSF	Zm00001d005843
GRMZM2G088309_P01	GRMZM2G088309	YABBY	Zm00001d028216
GRMZM2G088309_P02	GRMZM2G088309	YABBY	Zm00001d028216
GRMZM2G088440_P01	GRMZM2G088440	TCP	Zm00001d005763
GRMZM2G088443_P01	GRMZM2G088443	bHLH	Zm00001d039764
GRMZM2G088443_P02	GRMZM2G088443	bHLH	Zm00001d039764
GRMZM2G089361_P01	GRMZM2G089361	TCP	Zm00001d013119
GRMZM2G089501_P01	GRMZM2G089501	bHLH	Zm00001d020834
GRMZM2G089501_P02	GRMZM2G089501	bHLH	Zm00001d020834
GRMZM2G089501_P03	GRMZM2G089501	bHLH	Zm00001d020834
GRMZM2G089501_P04	GRMZM2G089501	bHLH	Zm00001d020834
GRMZM2G089501_P05	GRMZM2G089501	bHLH	Zm00001d020834
GRMZM2G089525_P01	GRMZM2G089525	HSF	Zm00001d044168
GRMZM2G089619_P01	GRMZM2G089619	ZF-HD	Zm00001d003645
GRMZM2G089636_P01	GRMZM2G089636	GRAS	Zm00001d035671
GRMZM2G089638_P01	GRMZM2G089638	TCP	Zm00001d041866
GRMZM2G089662_P01	GRMZM2G089662	GRAS	Zm00001d035670
GRMZM2G089782_P01	GRMZM2G089782	GRAS	Zm00001d041498
GRMZM2G089812_P01	GRMZM2G089812	NF-YC	Zm00001d028432
GRMZM2G089812_P02	GRMZM2G089812	NF-YC	Zm00001d028432
GRMZM2G089850_P01	GRMZM2G089850	Dof	Zm00001d020837
GRMZM2G089949_P01	GRMZM2G089949	Dof	Zm00001d040362
GRMZM2G090594_P01	GRMZM2G090594	WRKY	Zm00001d024376
GRMZM2G091003_P01	GRMZM2G091003	bHLH	Zm00001d051509
GRMZM2G091331_P01	GRMZM2G091331	WRKY	Zm00001d026252
GRMZM2G091331_P02	GRMZM2G091331	WRKY	Zm00001d026252
GRMZM2G091433_P01	GRMZM2G091433	NF-YC	Zm00001d052621
GRMZM2G091433_P03	GRMZM2G091433	NF-YC	Zm00001d052621
GRMZM2G091433_P04	GRMZM2G091433	NF-YC	Zm00001d052621
GRMZM2G091490_P01	GRMZM2G091490	NAC	Zm00001d036050
GRMZM2G091656_P01	GRMZM2G091656	GRAS	Zm00001d053163
GRMZM2G091964_P01	GRMZM2G091964	NF-YA	Zm00001d033602
GRMZM2G091964_P02	GRMZM2G091964	NF-YA	Zm00001d033602
GRMZM2G091964_P03	GRMZM2G091964	NF-YA	Zm00001d033602
GRMZM2G092091_P01	GRMZM2G092091	bHLH	Zm00001d033870
GRMZM2G092091_P02	GRMZM2G092091	bHLH	Zm00001d033870
GRMZM2G092137_P01	GRMZM2G092137	bZIP	Zm00001d020025
GRMZM2G092214_P01	GRMZM2G092214	TCP	Zm00001d042305
GRMZM2G092214_P02	GRMZM2G092214	TCP	Zm00001d042305
GRMZM2G092409_P01	GRMZM2G092409	GeBP	Zm00001d020688
GRMZM2G092465_P01	GRMZM2G092465	NAC	Zm00001d035084
GRMZM2G092465_P03	GRMZM2G092465	NAC	Zm00001d035084
GRMZM2G092483_P01	GRMZM2G092483	LBD	Zm00001d027678
GRMZM2G092483_P02	GRMZM2G092483	LBD	Zm00001d027678
GRMZM2G092517_P01	GRMZM2G092517	LBD	Zm00001d043036
GRMZM2G092542_P01	GRMZM2G092542	LBD	Zm00001d027679
GRMZM2G092542_P02	GRMZM2G092542	LBD	Zm00001d027679
GRMZM2G092609_P01	GRMZM2G092609	bZIP	Zm00001d016732
GRMZM2G092609_P02	GRMZM2G092609	bZIP	Zm00001d016732
GRMZM2G092694_P01	GRMZM2G092694	WRKY	NA
GRMZM2G093020_P02	GRMZM2G093020	bZIP	Zm00001d030577
GRMZM2G093725_P01	GRMZM2G093725	Dof	Zm00001d034653
GRMZM2G093744_P01	GRMZM2G093744	bHLH	Zm00001d024679
GRMZM2G093744_P02	GRMZM2G093744	bHLH	Zm00001d024679
GRMZM2G093744_P03	GRMZM2G093744	bHLH	Zm00001d024679
GRMZM2G093895_P01	GRMZM2G093895	TCP	Zm00001d023565
GRMZM2G094067_P01	GRMZM2G094067	NAC	Zm00001d016814
GRMZM2G094081_P01	GRMZM2G094081	VOZ	Zm00001d041158
GRMZM2G094352_P01	GRMZM2G094352	bZIP	Zm00001d024160
GRMZM2G094352_P02	GRMZM2G094352	bZIP	Zm00001d024160
GRMZM2G094892_P01	GRMZM2G094892	bHLH	Zm00001d038863
GRMZM2G094892_P02	GRMZM2G094892	bHLH	Zm00001d038863
GRMZM2G095078_P01	GRMZM2G095078	bZIP	Zm00001d019166
GRMZM2G095078_P02	GRMZM2G095078	bZIP	Zm00001d019166
GRMZM2G095899_P01	GRMZM2G095899	bHLH	Zm00001d033407
GRMZM2G095982_P01	GRMZM2G095982	LBD	Zm00001d048889
GRMZM2G096016_P01	GRMZM2G096016	NF-YA	Zm00001d007882
GRMZM2G096016_P02	GRMZM2G096016	NF-YA	Zm00001d007882
GRMZM2G096064_P01	GRMZM2G096064	LBD	Zm00001d010264
GRMZM2G096600_P01	GRMZM2G096600	CPP	NA
GRMZM2G096600_P02	GRMZM2G096600	CPP	NA
GRMZM2G096610_P01	GRMZM2G096610	TCP	Zm00001d025033
GRMZM2G097275_P01	GRMZM2G097275	SBP	Zm00001d015233
GRMZM2G097275_P02	GRMZM2G097275	SBP	Zm00001d015233
GRMZM2G097275_P03	GRMZM2G097275	SBP	Zm00001d015233
GRMZM2G097275_P04	GRMZM2G097275	SBP	Zm00001d015233
GRMZM2G097456_P01	GRMZM2G097456	GRAS	Zm00001d021998
GRMZM2G097683_P01	GRMZM2G097683	SRS	Zm00001d014762
GRMZM2G098517_P01	GRMZM2G098517	GRAS	Zm00001d021946
GRMZM2G098517_P02	GRMZM2G098517	GRAS	Zm00001d021946
GRMZM2G098557_P01	GRMZM2G098557	SBP	Zm00001d052905
GRMZM2G098696_P01	GRMZM2G098696	HSF	Zm00001d052738
GRMZM2G098696_P02	GRMZM2G098696	HSF	Zm00001d052738
GRMZM2G098784_P01	GRMZM2G098784	GRAS	Zm00001d047813
GRMZM2G098800_P01	GRMZM2G098800	GRAS	Zm00001d051387
GRMZM2G098800_P02	GRMZM2G098800	GRAS	Zm00001d051387
GRMZM2G098813_P01	GRMZM2G098813	LFY	Zm00001d026231
GRMZM2G098813_P02	GRMZM2G098813	LFY	Zm00001d026231
GRMZM2G098813_P04	GRMZM2G098813	LFY	Zm00001d026231
GRMZM2G098904_P01	GRMZM2G098904	bZIP	Zm00001d015421
GRMZM2G098904_P02	GRMZM2G098904	bZIP	Zm00001d015421
GRMZM2G099144_P01	GRMZM2G099144	NAC	Zm00001d003583
GRMZM2G099461_P01	GRMZM2G099461	NF-YC	Zm00001d039581
GRMZM2G099593_P01	GRMZM2G099593	WRKY	Zm00001d005057
GRMZM2G100313_P01	GRMZM2G100313	bHLH	NA
GRMZM2G100583_P01	GRMZM2G100583	NAC	Zm00001d049860
GRMZM2G100583_P02	GRMZM2G100583	NAC	Zm00001d049860
GRMZM2G100593_P01	GRMZM2G100593	NAC	NA
GRMZM2G101058_P01	GRMZM2G101058	GATA	Zm00001d047081
GRMZM2G101350_P01	GRMZM2G101350	bHLH	Zm00001d017778
GRMZM2G101350_P02	GRMZM2G101350	bHLH	Zm00001d017778
GRMZM2G101350_P03	GRMZM2G101350	bHLH	Zm00001d017778
GRMZM2G101405_P01	GRMZM2G101405	WRKY	Zm00001d043663
GRMZM2G101499_P01	GRMZM2G101499	SBP	Zm00001d036692
GRMZM2G101499_P02	GRMZM2G101499	SBP	Zm00001d036692
GRMZM2G101511_P01	GRMZM2G101511	SBP	Zm00001d049822
GRMZM2G101511_P02	GRMZM2G101511	SBP	Zm00001d049822
GRMZM2G102218_P01	GRMZM2G102218	YABBY	Zm00001d048083
GRMZM2G102218_P02	GRMZM2G102218	YABBY	Zm00001d048083
GRMZM2G102514_P01	GRMZM2G102514	BES1	Zm00001d021927
GRMZM2G102583_P02	GRMZM2G102583	WRKY	Zm00001d004086
GRMZM2G103647_P01	GRMZM2G103647	bZIP	Zm00001d046937
GRMZM2G103647_P03	GRMZM2G103647	bZIP	Zm00001d046937
GRMZM2G104074_P01	GRMZM2G104074	NAC	Zm00001d046126
GRMZM2G104078_P02	GRMZM2G104078	NAC	Zm00001d050960
GRMZM2G104078_P03	GRMZM2G104078	NAC	Zm00001d050960
GRMZM2G104246_P01	GRMZM2G104246	CPP	Zm00001d012688
GRMZM2G104246_P02	GRMZM2G104246	CPP	Zm00001d012688
GRMZM2G104268_P01	GRMZM2G104268	FAR1	NA
GRMZM2G104268_P02	GRMZM2G104268	FAR1	NA
GRMZM2G104342_P01	GRMZM2G104342	GRAS	Zm00001d013385
GRMZM2G104390_P01	GRMZM2G104390	GATA	Zm00001d009193
GRMZM2G104396_P01	GRMZM2G104396	NF-YA	Zm00001d041491
GRMZM2G104400_P01	GRMZM2G104400	NAC	Zm00001d010227
GRMZM2G104400_P02	GRMZM2G104400	NAC	Zm00001d010227
GRMZM2G105004_P01	GRMZM2G105004	Nin-like	Zm00001d025757
GRMZM2G105004_P02	GRMZM2G105004	Nin-like	Zm00001d025757
GRMZM2G105140_P01	GRMZM2G105140	WRKY	Zm00001d044171
GRMZM2G105317_P01	GRMZM2G105317	NF-YC	Zm00001d007436
GRMZM2G105317_P02	GRMZM2G105317	NF-YC	Zm00001d007436
GRMZM2G105317_P03	GRMZM2G105317	NF-YC	Zm00001d007436
GRMZM2G105348_P01	GRMZM2G105348	HSF	Zm00001d016255
GRMZM2G105641_P01	GRMZM2G105641	Nin-like	Zm00001d018035
GRMZM2G106204_P01	GRMZM2G106204	YABBY	Zm00001d018829
GRMZM2G106204_P02	GRMZM2G106204	YABBY	Zm00001d018829
GRMZM2G106336_P01	GRMZM2G106336	GRAS	Zm00001d048681
GRMZM2G106356_P01	GRMZM2G106356	GRAS	Zm00001d048682
GRMZM2G106548_P01	GRMZM2G106548	GRAS	Zm00001d021826
GRMZM2G106560_P01	GRMZM2G106560	WRKY	Zm00001d007329
GRMZM2G106560_P02	GRMZM2G106560	WRKY	Zm00001d007329
GRMZM2G106653_P01	GRMZM2G106653	FAR1	Zm00001d017165
GRMZM2G106798_P01	GRMZM2G106798	SBP	Zm00001d049165
GRMZM2G106798_P02	GRMZM2G106798	SBP	Zm00001d049165
GRMZM2G106798_P03	GRMZM2G106798	SBP	Zm00001d049165
GRMZM2G107031_P01	GRMZM2G107031	TCP	Zm00001d031725
GRMZM2G107276_P01	GRMZM2G107276	bHLH	Zm00001d032213
GRMZM2G107560_P01	GRMZM2G107560	bHLH	Zm00001d006150
GRMZM2G107672_P01	GRMZM2G107672	bHLH	NA
GRMZM2G108798_P01	GRMZM2G108798	SRS	Zm00001d036426
GRMZM2G108865_P01	GRMZM2G108865	Dof	Zm00001d034163
GRMZM2G109354_P01	GRMZM2G109354	SBP	Zm00001d010309
GRMZM2G109509_P01	GRMZM2G109509	Nin-like	Zm00001d027510
GRMZM2G109509_P02	GRMZM2G109509	Nin-like	Zm00001d027510
GRMZM2G109605_P01	GRMZM2G109605	bHLH	NA
GRMZM2G109627_P01	GRMZM2G109627	NAC	Zm00001d008399
GRMZM2G109869_P01	GRMZM2G109869	GRAS	Zm00001d002573
GRMZM2G109869_P02	GRMZM2G109869	GRAS	Zm00001d002573
GRMZM2G110067_P01	GRMZM2G110067	GRAS	Zm00001d029474
GRMZM2G110242_P01	GRMZM2G110242	TCP	Zm00001d005737
GRMZM2G110295_P01	GRMZM2G110295	GATA	Zm00001d034386
GRMZM2G110579_P01	GRMZM2G110579	GRAS	Zm00001d017513
GRMZM2G110913_P01	GRMZM2G110913	LBD	Zm00001d028413
GRMZM2G111136_P01	GRMZM2G111136	SBP	Zm00001d015451
GRMZM2G111136_P02	GRMZM2G111136	SBP	Zm00001d015451
GRMZM2G111146_P01	GRMZM2G111146	bHLH	Zm00001d017677
